cell,r,power,K,check_steps,mismatch,mismatch_rate_pct,tps,delta_pct_vs_ctrl,quality_ok,log_check,log_perf
r160_p1_K16384,160,1,16384,64,0,0,28.6068,-2.743,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K16384_perf.txt
r160_p2_K4096,160,2,4096,64,2,3.125,29.0757,-1.149,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K4096_perf.txt
r160_p2_K8192,160,2,8192,64,2,3.125,29.7591,1.175,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K8192_perf.txt
r160_p2_K16384,160,2,16384,64,0,0,29.5548,0.48,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p2_K16384_perf.txt
r192_p0_K4096,192,0,4096,64,1,1.5625,28.3073,-3.761,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K4096_perf.txt
r192_p0_K8192,192,0,8192,64,4,6.25,28.1968,-4.137,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K8192_perf.txt
r192_p0_K16384,192,0,16384,64,1,1.5625,29.6432,0.781,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p0_K16384_perf.txt
r192_p1_K4096,192,1,4096,64,2,3.125,29.8003,1.315,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K4096_perf.txt
r192_p1_K8192,192,1,8192,64,2,3.125,28.9013,-1.742,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K8192_perf.txt
r192_p1_K16384,192,1,16384,64,0,0,28.9203,-1.677,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p1_K16384_perf.txt
r192_p2_K4096,192,2,4096,64,2,3.125,28.3624,-3.574,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K4096_perf.txt
r192_p2_K8192,192,2,8192,64,2,3.125,29.0754,-1.15,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K8192_perf.txt
r192_p2_K16384,192,2,16384,64,2,3.125,25.1222,-14.59,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r192_p2_K16384_perf.txt
